Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
1290,96.23397435897436,GA,FGC,1,5,0.1
1320,96.18389423076923,GA,FGC,1,5,0.1
1350,96.34415064102564,GA,FGC,1,5,0.1
1380,96.32411858974359,GA,FGC,1,5,0.1
1410,96.4443108974359,GA,FGC,1,5,0.1
1440,96.484375,GA,FGC,1,5,0.1
1470,96.53445512820512,GA,FGC,1,5,0.1
1500,96.59455128205128,GA,FGC,1,5,0.1
30,61.02764423076923,GA,FGC,1,6,0.1
60,75.32051282051282,GA,FGC,1,6,0.1
90,80.30849358974359,GA,FGC,1,6,0.1
120,83.66386217948718,GA,FGC,1,6,0.1
150,85.34655448717949,GA,FGC,1,6,0.1
180,86.29807692307692,GA,FGC,1,6,0.1
210,88.61177884615384,GA,FGC,1,6,0.1
240,89.00240384615384,GA,FGC,1,6,0.1
270,89.23277243589743,GA,FGC,1,6,0.1
300,90.39463141025641,GA,FGC,1,6,0.1
330,90.91546474358974,GA,FGC,1,6,0.1
360,91.29607371794872,GA,FGC,1,6,0.1
390,91.65665064102564,GA,FGC,1,6,0.1
420,92.09735576923077,GA,FGC,1,6,0.1
450,92.40785256410257,GA,FGC,1,6,0.1
480,92.60817307692308,GA,FGC,1,6,0.1
510,92.77844551282051,GA,FGC,1,6,0.1
540,93.17908653846153,GA,FGC,1,6,0.1
570,93.4795673076923,GA,FGC,1,6,0.1
600,93.75,GA,FGC,1,6,0.1
630,93.91025641025641,GA,FGC,1,6,0.1
660,93.90024038461539,GA,FGC,1,6,0.1
690,94.11057692307692,GA,FGC,1,6,0.1
720,94.30088141025641,GA,FGC,1,6,0.1
750,94.51121794871794,GA,FGC,1,6,0.1
780,94.70152243589743,GA,FGC,1,6,0.1
810,94.70152243589743,GA,FGC,1,6,0.1
840,94.87179487179488,GA,FGC,1,6,0.1
870,94.94190705128206,GA,FGC,1,6,0.1
900,95.0020032051282,GA,FGC,1,6,0.1
930,95.12219551282051,GA,FGC,1,6,0.1
