Iterations,Accuracy (%),niid,Aggregator,seed,f
1050,95.07211538461539,0.3,GM,1,6
1080,94.83173076923077,0.3,GM,1,6
1110,94.8016826923077,0.3,GM,1,6
1140,95.08213141025641,0.3,GM,1,6
1170,95.20232371794872,0.3,GM,1,6
1200,95.2323717948718,0.3,GM,1,6
1230,95.29246794871794,0.3,GM,1,6
1260,95.32251602564102,0.3,GM,1,6
1290,95.54286858974359,0.3,GM,1,6
1320,95.4326923076923,0.3,GM,1,6
1350,95.59294871794872,0.3,GM,1,6
1380,95.50280448717949,0.3,GM,1,6
1410,95.55288461538461,0.3,GM,1,6
1440,95.95352564102564,0.3,GM,1,6
1470,95.99358974358974,0.3,GM,1,6
1500,95.73317307692308,0.3,GM,1,6
30,42.33774038461539,0.5,GM,1,6
60,66.61658653846153,0.5,GM,1,6
90,75.06009615384616,0.5,GM,1,6
120,80.92948717948718,0.5,GM,1,6
150,83.04286858974359,0.5,GM,1,6
180,85.45673076923077,0.5,GM,1,6
210,85.68709935897436,0.5,GM,1,6
240,87.56009615384616,0.5,GM,1,6
270,88.28125,0.5,GM,1,6
300,88.82211538461539,0.5,GM,1,6
330,89.40304487179488,0.5,GM,1,6
360,89.70352564102564,0.5,GM,1,6
390,89.85376602564102,0.5,GM,1,6
420,90.87540064102564,0.5,GM,1,6
450,90.53485576923077,0.5,GM,1,6
480,91.00560897435898,0.5,GM,1,6
510,90.09415064102564,0.5,GM,1,6
540,91.29607371794872,0.5,GM,1,6
570,90.3545673076923,0.5,GM,1,6
600,91.18589743589743,0.5,GM,1,6
630,91.18589743589743,0.5,GM,1,6
660,92.1073717948718,0.5,GM,1,6
690,91.41626602564102,0.5,GM,1,6
720,92.44791666666667,0.5,GM,1,6
750,92.24759615384616,0.5,GM,1,6
780,91.80689102564102,0.5,GM,1,6
810,91.4463141025641,0.5,GM,1,6
840,91.80689102564102,0.5,GM,1,6
870,91.08573717948718,0.5,GM,1,6
900,92.70833333333333,0.5,GM,1,6
930,92.21754807692308,0.5,GM,1,6
960,91.49639423076923,0.5,GM,1,6
990,93.21915064102564,0.5,GM,1,6
1020,92.37780448717949,0.5,GM,1,6
1050,92.44791666666667,0.5,GM,1,6
1080,93.22916666666667,0.5,GM,1,6
1110,92.63822115384616,0.5,GM,1,6
1140,92.54807692307692,0.5,GM,1,6
1170,93.61979166666667,0.5,GM,1,6
1200,91.96714743589743,0.5,GM,1,6
1230,93.46955128205128,0.5,GM,1,6
1260,93.10897435897436,0.5,GM,1,6
1290,93.01883012820512,0.5,GM,1,6
1320,92.5380608974359,0.5,GM,1,6
1350,93.45953525641026,0.5,GM,1,6
1380,92.67828525641026,0.5,GM,1,6
1410,94.03044871794872,0.5,GM,1,6
1440,93.05889423076923,0.5,GM,1,6
1470,93.4795673076923,0.5,GM,1,6
1500,94.00040064102564,0.5,GM,1,6
30,26.35216346153846,0.7,GM,1,6
60,38.06089743589744,0.7,GM,1,6
90,54.31690705128205,0.7,GM,1,6
120,67.4979967948718,0.7,GM,1,6
150,72.5761217948718,0.7,GM,1,6
180,78.79607371794872,0.7,GM,1,6
210,81.7207532051282,0.7,GM,1,6
240,85.01602564102564,0.7,GM,1,6
270,85.59695512820512,0.7,GM,1,6
300,84.75560897435898,0.7,GM,1,6
330,87.55008012820512,0.7,GM,1,6
360,86.22796474358974,0.7,GM,1,6
390,84.81570512820512,0.7,GM,1,6
420,84.03445512820512,0.7,GM,1,6
450,88.39142628205128,0.7,GM,1,6
480,87.34975961538461,0.7,GM,1,6
510,87.01923076923077,0.7,GM,1,6
540,88.02083333333333,0.7,GM,1,6
570,88.18108974358974,0.7,GM,1,6
600,89.7235576923077,0.7,GM,1,6
630,89.21274038461539,0.7,GM,1,6
660,90.03405448717949,0.7,GM,1,6
690,89.5733173076923,0.7,GM,1,6
720,90.30448717948718,0.7,GM,1,6
750,90.1141826923077,0.7,GM,1,6
780,90.02403846153847,0.7,GM,1,6
810,90.80528846153847,0.7,GM,1,6
840,91.11578525641026,0.7,GM,1,6
870,89.75360576923077,0.7,GM,1,6
900,90.79527243589743,0.7,GM,1,6
