Iterations,Accuracy (%),ATK,Aggregator,seed,f
1620,74.37900641025641,mimic,AVG,1,5
1650,74.0985576923077,mimic,AVG,1,5
1680,74.20873397435898,mimic,AVG,1,5
1710,74.03846153846153,mimic,AVG,1,5
1740,73.7479967948718,mimic,AVG,1,5
1770,75.38060897435898,mimic,AVG,1,5
1800,72.43589743589743,mimic,AVG,1,5
1830,75.05008012820512,mimic,AVG,1,5
1860,74.85977564102564,mimic,AVG,1,5
1890,74.94991987179488,mimic,AVG,1,5
1920,75.85136217948718,mimic,AVG,1,5
1950,75.85136217948718,mimic,AVG,1,5
1980,76.36217948717949,mimic,AVG,1,5
2010,77.00320512820512,mimic,AVG,1,5
2040,76.32211538461539,mimic,AVG,1,5
2070,77.18349358974359,mimic,AVG,1,5
2100,77.20352564102564,mimic,AVG,1,5
2130,76.81290064102564,mimic,AVG,1,5
2160,76.9931891025641,mimic,AVG,1,5
2190,77.64423076923077,mimic,AVG,1,5
2220,76.89302884615384,mimic,AVG,1,5
2250,77.17347756410257,mimic,AVG,1,5
2280,79.6474358974359,mimic,AVG,1,5
2310,79.73758012820512,mimic,AVG,1,5
2340,80.1983173076923,mimic,AVG,1,5
2370,79.94791666666667,mimic,AVG,1,5
2400,79.69751602564102,mimic,AVG,1,5
2430,79.98798076923077,mimic,AVG,1,5
2460,79.92788461538461,mimic,AVG,1,5
2490,80.13822115384616,mimic,AVG,1,5
2520,80.08814102564102,mimic,AVG,1,5
2550,80.13822115384616,mimic,AVG,1,5
2580,80.18830128205128,mimic,AVG,1,5
2610,80.3485576923077,mimic,AVG,1,5
2640,80.05809294871794,mimic,AVG,1,5
2670,79.75761217948718,mimic,AVG,1,5
2700,80.16826923076923,mimic,AVG,1,5
2730,80.1582532051282,mimic,AVG,1,5
2760,80.31850961538461,mimic,AVG,1,5
2790,80.0380608974359,mimic,AVG,1,5
2820,80.35857371794872,mimic,AVG,1,5
2850,80.40865384615384,mimic,AVG,1,5
2880,80.26842948717949,mimic,AVG,1,5
2910,80.26842948717949,mimic,AVG,1,5
2940,80.43870192307692,mimic,AVG,1,5
2970,79.8076923076923,mimic,AVG,1,5
3000,80.3485576923077,mimic,AVG,1,5
30,9.985977564102564,IPM,AVG,1,5
60,9.985977564102564,IPM,AVG,1,5
90,9.985977564102564,IPM,AVG,1,5
120,9.985977564102564,IPM,AVG,1,5
150,9.99599358974359,IPM,AVG,1,5
180,9.99599358974359,IPM,AVG,1,5
210,9.99599358974359,IPM,AVG,1,5
240,9.99599358974359,IPM,AVG,1,5
270,9.99599358974359,IPM,AVG,1,5
300,9.99599358974359,IPM,AVG,1,5
330,9.99599358974359,IPM,AVG,1,5
360,9.99599358974359,IPM,AVG,1,5
390,9.99599358974359,IPM,AVG,1,5
420,9.99599358974359,IPM,AVG,1,5
450,9.99599358974359,IPM,AVG,1,5
480,9.99599358974359,IPM,AVG,1,5
510,9.99599358974359,IPM,AVG,1,5
540,9.99599358974359,IPM,AVG,1,5
570,9.99599358974359,IPM,AVG,1,5
600,9.99599358974359,IPM,AVG,1,5
630,9.99599358974359,IPM,AVG,1,5
660,9.99599358974359,IPM,AVG,1,5
690,9.99599358974359,IPM,AVG,1,5
720,9.99599358974359,IPM,AVG,1,5
750,9.99599358974359,IPM,AVG,1,5
780,9.99599358974359,IPM,AVG,1,5
810,9.99599358974359,IPM,AVG,1,5
840,9.99599358974359,IPM,AVG,1,5
870,9.99599358974359,IPM,AVG,1,5
900,9.99599358974359,IPM,AVG,1,5
930,9.99599358974359,IPM,AVG,1,5
960,9.99599358974359,IPM,AVG,1,5
990,9.99599358974359,IPM,AVG,1,5
1020,9.99599358974359,IPM,AVG,1,5
1050,9.99599358974359,IPM,AVG,1,5
1080,9.99599358974359,IPM,AVG,1,5
1110,9.99599358974359,IPM,AVG,1,5
1140,9.99599358974359,IPM,AVG,1,5
1170,9.99599358974359,IPM,AVG,1,5
1200,9.99599358974359,IPM,AVG,1,5
1230,9.99599358974359,IPM,AVG,1,5
1260,9.99599358974359,IPM,AVG,1,5
1290,9.99599358974359,IPM,AVG,1,5
1320,9.99599358974359,IPM,AVG,1,5
1350,9.99599358974359,IPM,AVG,1,5
1380,9.99599358974359,IPM,AVG,1,5
1410,9.99599358974359,IPM,AVG,1,5
1440,9.99599358974359,IPM,AVG,1,5
1470,9.99599358974359,IPM,AVG,1,5
1500,9.99599358974359,IPM,AVG,1,5
1530,9.99599358974359,IPM,AVG,1,5
1560,9.99599358974359,IPM,AVG,1,5
1590,9.99599358974359,IPM,AVG,1,5
1620,9.99599358974359,IPM,AVG,1,5
1650,9.99599358974359,IPM,AVG,1,5
1680,9.99599358974359,IPM,AVG,1,5
1710,9.99599358974359,IPM,AVG,1,5
1740,9.99599358974359,IPM,AVG,1,5
1770,9.99599358974359,IPM,AVG,1,5
1800,9.99599358974359,IPM,AVG,1,5
1830,9.99599358974359,IPM,AVG,1,5
1860,9.99599358974359,IPM,AVG,1,5
1890,9.99599358974359,IPM,AVG,1,5
1920,9.99599358974359,IPM,AVG,1,5
1950,9.99599358974359,IPM,AVG,1,5
1980,9.99599358974359,IPM,AVG,1,5
2010,9.99599358974359,IPM,AVG,1,5
2040,9.99599358974359,IPM,AVG,1,5
2070,9.99599358974359,IPM,AVG,1,5
2100,9.99599358974359,IPM,AVG,1,5
2130,9.99599358974359,IPM,AVG,1,5
2160,9.99599358974359,IPM,AVG,1,5
2190,9.99599358974359,IPM,AVG,1,5
2220,9.99599358974359,IPM,AVG,1,5
2250,9.99599358974359,IPM,AVG,1,5
2280,9.99599358974359,IPM,AVG,1,5
2310,9.99599358974359,IPM,AVG,1,5
2340,9.99599358974359,IPM,AVG,1,5
2370,9.99599358974359,IPM,AVG,1,5
2400,9.99599358974359,IPM,AVG,1,5
2430,9.99599358974359,IPM,AVG,1,5
2460,9.99599358974359,IPM,AVG,1,5
