Iterations,Accuracy (%),Attack,Aggregator,seed,f,s
840,97.31570512820512,LF,FGC,1,6,0
870,97.1854967948718,LF,FGC,1,6,0
900,97.04527243589743,LF,FGC,1,6,0
930,97.43589743589743,LF,FGC,1,6,0
960,97.50600961538461,LF,FGC,1,6,0
990,97.5761217948718,LF,FGC,1,6,0
1020,97.71634615384616,LF,FGC,1,6,0
1050,97.70633012820512,LF,FGC,1,6,0
1080,97.7764423076923,LF,FGC,1,6,0
1110,97.71634615384616,LF,FGC,1,6,0
1140,97.93669871794872,LF,FGC,1,6,0
1170,97.97676282051282,LF,FGC,1,6,0
1200,98.06690705128206,LF,FGC,1,6,0
1230,98.17708333333333,LF,FGC,1,6,0
1260,98.18709935897436,LF,FGC,1,6,0
1290,98.15705128205128,LF,FGC,1,6,0
1320,98.22716346153847,LF,FGC,1,6,0
1350,98.21714743589743,LF,FGC,1,6,0
1380,98.28725961538461,LF,FGC,1,6,0
1410,98.24719551282051,LF,FGC,1,6,0
1440,98.34735576923077,LF,FGC,1,6,0
1470,98.38741987179488,LF,FGC,1,6,0
1500,98.29727564102564,LF,FGC,1,6,0
30,48.05689102564103,Mimic,FGC,1,2,0
60,73.93830128205128,Mimic,FGC,1,2,0
90,83.5536858974359,Mimic,FGC,1,2,0
120,85.5068108974359,Mimic,FGC,1,2,0
150,88.73197115384616,Mimic,FGC,1,2,0
180,88.00080128205128,Mimic,FGC,1,2,0
210,90.7451923076923,Mimic,FGC,1,2,0
240,90.69511217948718,Mimic,FGC,1,2,0
270,91.89703525641026,Mimic,FGC,1,2,0
300,92.42788461538461,Mimic,FGC,1,2,0
330,92.73838141025641,Mimic,FGC,1,2,0
360,93.65985576923077,Mimic,FGC,1,2,0
390,93.95032051282051,Mimic,FGC,1,2,0
420,94.35096153846153,Mimic,FGC,1,2,0
450,94.32091346153847,Mimic,FGC,1,2,0
480,95.03205128205128,Mimic,FGC,1,2,0
510,95.34254807692308,Mimic,FGC,1,2,0
540,95.80328525641026,Mimic,FGC,1,2,0
570,95.67307692307692,Mimic,FGC,1,2,0
600,96.04366987179488,Mimic,FGC,1,2,0
630,96.04366987179488,Mimic,FGC,1,2,0
660,96.25400641025641,Mimic,FGC,1,2,0
690,96.49439102564102,Mimic,FGC,1,2,0
720,96.64463141025641,Mimic,FGC,1,2,0
750,96.9150641025641,Mimic,FGC,1,2,0
780,96.84495192307692,Mimic,FGC,1,2,0
810,96.88501602564102,Mimic,FGC,1,2,0
840,97.07532051282051,Mimic,FGC,1,2,0
870,97.09535256410257,Mimic,FGC,1,2,0
900,97.32572115384616,Mimic,FGC,1,2,0
930,97.33573717948718,Mimic,FGC,1,2,0
960,97.52604166666667,Mimic,FGC,1,2,0
990,97.44591346153847,Mimic,FGC,1,2,0
1020,97.59615384615384,Mimic,FGC,1,2,0
1050,97.62620192307692,Mimic,FGC,1,2,0
1080,97.71634615384616,Mimic,FGC,1,2,0
1110,97.70633012820512,Mimic,FGC,1,2,0
1140,97.79647435897436,Mimic,FGC,1,2,0
1170,97.72636217948718,Mimic,FGC,1,2,0
1200,97.76642628205128,Mimic,FGC,1,2,0
1230,97.79647435897436,Mimic,FGC,1,2,0
1260,97.95673076923077,Mimic,FGC,1,2,0
1290,97.7764423076923,Mimic,FGC,1,2,0
1320,98.02684294871794,Mimic,FGC,1,2,0
1350,97.85657051282051,Mimic,FGC,1,2,0
1380,97.85657051282051,Mimic,FGC,1,2,0
1410,98.03685897435898,Mimic,FGC,1,2,0
1440,98.1670673076923,Mimic,FGC,1,2,0
1470,97.85657051282051,Mimic,FGC,1,2,0
1500,98.07692307692308,Mimic,FGC,1,2,0
30,70.10216346153847,Mimic,FGC,1,4,0
60,80.02804487179488,Mimic,FGC,1,4,0
90,83.69391025641026,Mimic,FGC,1,4,0
120,86.57852564102564,Mimic,FGC,1,4,0
150,87.17948717948718,Mimic,FGC,1,4,0
180,88.53165064102564,Mimic,FGC,1,4,0
210,88.2011217948718,Mimic,FGC,1,4,0
240,89.66346153846153,Mimic,FGC,1,4,0
270,90.8954326923077,Mimic,FGC,1,4,0
300,91.57652243589743,Mimic,FGC,1,4,0
330,92.17748397435898,Mimic,FGC,1,4,0
360,91.74679487179488,Mimic,FGC,1,4,0
390,92.87860576923077,Mimic,FGC,1,4,0
420,93.0488782051282,Mimic,FGC,1,4,0
450,93.73998397435898,Mimic,FGC,1,4,0
480,93.88020833333333,Mimic,FGC,1,4,0
510,94.2207532051282,Mimic,FGC,1,4,0
540,94.77163461538461,Mimic,FGC,1,4,0
570,94.95192307692308,Mimic,FGC,1,4,0
600,95.05208333333333,Mimic,FGC,1,4,0
630,95.42267628205128,Mimic,FGC,1,4,0
660,95.29246794871794,Mimic,FGC,1,4,0
690,95.48277243589743,Mimic,FGC,1,4,0
720,96.04366987179488,Mimic,FGC,1,4,0
750,96.04366987179488,Mimic,FGC,1,4,0
780,96.1338141025641,Mimic,FGC,1,4,0
810,96.4443108974359,Mimic,FGC,1,4,0
840,96.46434294871794,Mimic,FGC,1,4,0
870,96.45432692307692,Mimic,FGC,1,4,0
900,96.4042467948718,Mimic,FGC,1,4,0
930,96.65464743589743,Mimic,FGC,1,4,0
960,96.80488782051282,Mimic,FGC,1,4,0
990,96.86498397435898,Mimic,FGC,1,4,0
1020,96.78485576923077,Mimic,FGC,1,4,0
1050,96.80488782051282,Mimic,FGC,1,4,0
1080,97.06530448717949,Mimic,FGC,1,4,0
1110,96.875,Mimic,FGC,1,4,0
1140,96.84495192307692,Mimic,FGC,1,4,0
1170,97.20552884615384,Mimic,FGC,1,4,0
1200,97.29567307692308,Mimic,FGC,1,4,0
1230,97.33573717948718,Mimic,FGC,1,4,0
1260,97.29567307692308,Mimic,FGC,1,4,0
1290,96.86498397435898,Mimic,FGC,1,4,0
1320,97.265625,Mimic,FGC,1,4,0
1350,97.45592948717949,Mimic,FGC,1,4,0
1380,97.47596153846153,Mimic,FGC,1,4,0
1410,97.43589743589743,Mimic,FGC,1,4,0
1440,97.42588141025641,Mimic,FGC,1,4,0
1470,97.63621794871794,Mimic,FGC,1,4,0
1500,97.65625,Mimic,FGC,1,4,0
30,13.291266025641026,Mimic,FGC,1,6,0
60,53.70592948717949,Mimic,FGC,1,6,0
90,73.7479967948718,Mimic,FGC,1,6,0
120,82.20152243589743,Mimic,FGC,1,6,0
150,85.0761217948718,Mimic,FGC,1,6,0
180,85.98758012820512,Mimic,FGC,1,6,0
210,88.2011217948718,Mimic,FGC,1,6,0
240,89.75360576923077,Mimic,FGC,1,6,0
270,88.41145833333333,Mimic,FGC,1,6,0
300,88.97235576923077,Mimic,FGC,1,6,0
330,90.14423076923077,Mimic,FGC,1,6,0
360,91.5264423076923,Mimic,FGC,1,6,0
390,91.03565705128206,Mimic,FGC,1,6,0
420,90.625,Mimic,FGC,1,6,0
450,91.37620192307692,Mimic,FGC,1,6,0
480,92.02724358974359,Mimic,FGC,1,6,0
510,91.64663461538461,Mimic,FGC,1,6,0
540,92.97876602564102,Mimic,FGC,1,6,0
570,92.94871794871794,Mimic,FGC,1,6,0
600,93.3193108974359,Mimic,FGC,1,6,0
630,93.91025641025641,Mimic,FGC,1,6,0
660,93.45953525641026,Mimic,FGC,1,6,0
690,94.11057692307692,Mimic,FGC,1,6,0
720,94.2207532051282,Mimic,FGC,1,6,0
750,94.32091346153847,Mimic,FGC,1,6,0
780,94.70152243589743,Mimic,FGC,1,6,0
810,94.8818108974359,Mimic,FGC,1,6,0
840,94.4511217948718,Mimic,FGC,1,6,0
870,95.29246794871794,Mimic,FGC,1,6,0
900,95.56290064102564,Mimic,FGC,1,6,0
930,95.32251602564102,Mimic,FGC,1,6,0
960,95.40264423076923,Mimic,FGC,1,6,0
990,95.9735576923077,Mimic,FGC,1,6,0
1020,95.5829326923077,Mimic,FGC,1,6,0
1050,96.15384615384616,Mimic,FGC,1,6,0
1080,96.26402243589743,Mimic,FGC,1,6,0
1110,95.50280448717949,Mimic,FGC,1,6,0
1140,95.32251602564102,Mimic,FGC,1,6,0
1170,96.0536858974359,Mimic,FGC,1,6,0
1200,96.06370192307692,Mimic,FGC,1,6,0
1230,96.29407051282051,Mimic,FGC,1,6,0
1260,96.49439102564102,Mimic,FGC,1,6,0
1290,96.31410256410257,Mimic,FGC,1,6,0
1320,96.1738782051282,Mimic,FGC,1,6,0
1350,96.6045673076923,Mimic,FGC,1,6,0
1380,96.67467948717949,Mimic,FGC,1,6,0
1410,96.93509615384616,Mimic,FGC,1,6,0
1440,96.5244391025641,Mimic,FGC,1,6,0
1470,96.81490384615384,Mimic,FGC,1,6,0
1500,96.71474358974359,Mimic,FGC,1,6,0
30,57.26161858974359,ALIE,FGC,1,2,0
60,79.65745192307692,ALIE,FGC,1,2,0
90,84.60536858974359,ALIE,FGC,1,2,0
120,87.70032051282051,ALIE,FGC,1,2,0
150,89.08253205128206,ALIE,FGC,1,2,0
180,89.3329326923077,ALIE,FGC,1,2,0
210,91.08573717948718,ALIE,FGC,1,2,0
240,91.43629807692308,ALIE,FGC,1,2,0
270,92.44791666666667,ALIE,FGC,1,2,0
300,92.79847756410257,ALIE,FGC,1,2,0
330,93.25921474358974,ALIE,FGC,1,2,0
360,93.6698717948718,ALIE,FGC,1,2,0
390,94.16065705128206,ALIE,FGC,1,2,0
420,94.54126602564102,ALIE,FGC,1,2,0
450,94.59134615384616,ALIE,FGC,1,2,0
480,94.8417467948718,ALIE,FGC,1,2,0
510,95.01201923076923,ALIE,FGC,1,2,0
540,95.15224358974359,ALIE,FGC,1,2,0
570,95.45272435897436,ALIE,FGC,1,2,0
600,95.72315705128206,ALIE,FGC,1,2,0
630,95.8233173076923,ALIE,FGC,1,2,0
660,96.12379807692308,ALIE,FGC,1,2,0
690,96.28405448717949,ALIE,FGC,1,2,0
720,96.4042467948718,ALIE,FGC,1,2,0
750,96.70472756410257,ALIE,FGC,1,2,0
780,96.78485576923077,ALIE,FGC,1,2,0
810,96.90504807692308,ALIE,FGC,1,2,0
840,96.88501602564102,ALIE,FGC,1,2,0
870,97.02524038461539,ALIE,FGC,1,2,0
900,97.28565705128206,ALIE,FGC,1,2,0
930,97.17548076923077,ALIE,FGC,1,2,0
960,97.19551282051282,ALIE,FGC,1,2,0
990,97.3056891025641,ALIE,FGC,1,2,0
1020,97.39583333333333,ALIE,FGC,1,2,0
1050,97.41586538461539,ALIE,FGC,1,2,0
1080,97.64623397435898,ALIE,FGC,1,2,0
1110,97.56610576923077,ALIE,FGC,1,2,0
1140,97.65625,ALIE,FGC,1,2,0
1170,97.72636217948718,ALIE,FGC,1,2,0
1200,97.6963141025641,ALIE,FGC,1,2,0
1230,97.90665064102564,ALIE,FGC,1,2,0
1260,97.78645833333333,ALIE,FGC,1,2,0
1290,97.87660256410257,ALIE,FGC,1,2,0
1320,97.95673076923077,ALIE,FGC,1,2,0
1350,97.94671474358974,ALIE,FGC,1,2,0
1380,98.03685897435898,ALIE,FGC,1,2,0
1410,98.14703525641026,ALIE,FGC,1,2,0
1440,98.0869391025641,ALIE,FGC,1,2,0
1470,98.11698717948718,ALIE,FGC,1,2,0
1500,98.1270032051282,ALIE,FGC,1,2,0
30,65.1943108974359,ALIE,FGC,1,4,0
60,78.34535256410257,ALIE,FGC,1,4,0
90,83.04286858974359,ALIE,FGC,1,4,0
120,87.13942307692308,ALIE,FGC,1,4,0
150,88.53165064102564,ALIE,FGC,1,4,0
180,89.7636217948718,ALIE,FGC,1,4,0
210,90.56490384615384,ALIE,FGC,1,4,0
