Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
1380,98.02684294871794,LF,FGC,1,0.4,0
1410,97.91666666666667,LF,FGC,1,0.4,0
1440,98.09695512820512,LF,FGC,1,0.4,0
1470,97.89663461538461,LF,FGC,1,0.4,0
1500,98.1670673076923,LF,FGC,1,0.4,0
30,49.96995192307692,LF,FGC,1,0.5,0
60,75.88141025641026,LF,FGC,1,0.5,0
90,83.203125,LF,FGC,1,0.5,0
120,86.00761217948718,LF,FGC,1,0.5,0
150,88.26121794871794,LF,FGC,1,0.5,0
180,89.36298076923077,LF,FGC,1,0.5,0
210,90.06410256410257,LF,FGC,1,0.5,0
240,90.68509615384616,LF,FGC,1,0.5,0
270,91.85697115384616,LF,FGC,1,0.5,0
300,92.66826923076923,LF,FGC,1,0.5,0
330,93.25921474358974,LF,FGC,1,0.5,0
360,93.52964743589743,LF,FGC,1,0.5,0
390,94.0604967948718,LF,FGC,1,0.5,0
420,94.47115384615384,LF,FGC,1,0.5,0
450,95.01201923076923,LF,FGC,1,0.5,0
480,95.17227564102564,LF,FGC,1,0.5,0
510,95.60296474358974,LF,FGC,1,0.5,0
540,95.80328525641026,LF,FGC,1,0.5,0
570,95.93349358974359,LF,FGC,1,0.5,0
600,96.22395833333333,LF,FGC,1,0.5,0
630,96.31410256410257,LF,FGC,1,0.5,0
660,96.45432692307692,LF,FGC,1,0.5,0
690,96.55448717948718,LF,FGC,1,0.5,0
720,96.76482371794872,LF,FGC,1,0.5,0
750,96.69471153846153,LF,FGC,1,0.5,0
780,96.94511217948718,LF,FGC,1,0.5,0
810,96.66466346153847,LF,FGC,1,0.5,0
840,97.03525641025641,LF,FGC,1,0.5,0
870,96.9951923076923,LF,FGC,1,0.5,0
900,97.36578525641026,LF,FGC,1,0.5,0
930,97.44591346153847,LF,FGC,1,0.5,0
960,97.42588141025641,LF,FGC,1,0.5,0
990,97.51602564102564,LF,FGC,1,0.5,0
1020,97.52604166666667,LF,FGC,1,0.5,0
1050,97.71634615384616,LF,FGC,1,0.5,0
1080,97.6963141025641,LF,FGC,1,0.5,0
1110,97.76642628205128,LF,FGC,1,0.5,0
1140,97.74639423076923,LF,FGC,1,0.5,0
1170,97.86658653846153,LF,FGC,1,0.5,0
1200,97.91666666666667,LF,FGC,1,0.5,0
1230,97.87660256410257,LF,FGC,1,0.5,0
1260,97.87660256410257,LF,FGC,1,0.5,0
1290,98.01682692307692,LF,FGC,1,0.5,0
1320,98.06690705128206,LF,FGC,1,0.5,0
1350,98.09695512820512,LF,FGC,1,0.5,0
1380,98.0068108974359,LF,FGC,1,0.5,0
1410,97.97676282051282,LF,FGC,1,0.5,0
1440,98.0068108974359,LF,FGC,1,0.5,0
1470,98.09695512820512,LF,FGC,1,0.5,0
1500,98.1270032051282,LF,FGC,1,0.5,0
30,34.38501602564103,LF,FGC,1,0.6,0
60,74.31891025641026,LF,FGC,1,0.6,0
90,81.92107371794872,LF,FGC,1,0.6,0
120,85.06610576923077,LF,FGC,1,0.6,0
150,86.81891025641026,LF,FGC,1,0.6,0
180,87.63020833333333,LF,FGC,1,0.6,0
210,89.56330128205128,LF,FGC,1,0.6,0
240,90.48477564102564,LF,FGC,1,0.6,0
270,90.59495192307692,LF,FGC,1,0.6,0
300,91.68669871794872,LF,FGC,1,0.6,0
330,92.56810897435898,LF,FGC,1,0.6,0
360,93.33934294871794,LF,FGC,1,0.6,0
390,93.30929487179488,LF,FGC,1,0.6,0
420,94.08052884615384,LF,FGC,1,0.6,0
450,94.59134615384616,LF,FGC,1,0.6,0
480,94.54126602564102,LF,FGC,1,0.6,0
510,94.98197115384616,LF,FGC,1,0.6,0
540,95.26241987179488,LF,FGC,1,0.6,0
570,95.40264423076923,LF,FGC,1,0.6,0
600,95.55288461538461,LF,FGC,1,0.6,0
630,96.04366987179488,LF,FGC,1,0.6,0
660,96.1738782051282,LF,FGC,1,0.6,0
690,95.88341346153847,LF,FGC,1,0.6,0
720,96.23397435897436,LF,FGC,1,0.6,0
750,96.6045673076923,LF,FGC,1,0.6,0
780,96.7948717948718,LF,FGC,1,0.6,0
810,96.80488782051282,LF,FGC,1,0.6,0
840,96.97516025641026,LF,FGC,1,0.6,0
870,97.01522435897436,LF,FGC,1,0.6,0
900,97.10536858974359,LF,FGC,1,0.6,0
930,97.00520833333333,LF,FGC,1,0.6,0
960,97.35576923076923,LF,FGC,1,0.6,0
990,97.24559294871794,LF,FGC,1,0.6,0
1020,97.45592948717949,LF,FGC,1,0.6,0
1050,97.6161858974359,LF,FGC,1,0.6,0
1080,97.50600961538461,LF,FGC,1,0.6,0
1110,97.58613782051282,LF,FGC,1,0.6,0
1140,97.54607371794872,LF,FGC,1,0.6,0
1170,97.74639423076923,LF,FGC,1,0.6,0
1200,97.83653846153847,LF,FGC,1,0.6,0
1230,97.82652243589743,LF,FGC,1,0.6,0
1260,97.67628205128206,LF,FGC,1,0.6,0
1290,97.81650641025641,LF,FGC,1,0.6,0
1320,97.97676282051282,LF,FGC,1,0.6,0
1350,98.07692307692308,LF,FGC,1,0.6,0
1380,98.10697115384616,LF,FGC,1,0.6,0
