Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
420,92.3076923076923,GA,6,1
450,92.51802884615384,GA,6,1
480,92.80849358974359,GA,6,1
510,93.25921474358974,GA,6,1
540,93.46955128205128,GA,6,1
570,93.7900641025641,GA,6,1
600,93.7900641025641,GA,6,1
630,94.07051282051282,GA,6,1
660,94.19070512820512,GA,6,1
690,94.4911858974359,GA,6,1
720,94.50120192307692,GA,6,1
750,94.72155448717949,GA,6,1
780,94.83173076923077,GA,6,1
810,95.01201923076923,GA,6,1
840,95.17227564102564,GA,6,1
870,95.2323717948718,GA,6,1
900,95.36258012820512,GA,6,1
930,95.49278846153847,GA,6,1
960,95.69310897435898,GA,6,1
990,95.59294871794872,GA,6,1
1020,95.69310897435898,GA,6,1
1050,95.85336538461539,GA,6,1
1080,95.88341346153847,GA,6,1
1110,95.86338141025641,GA,6,1
1140,96.04366987179488,GA,6,1
1170,96.0536858974359,GA,6,1
1200,96.09375,GA,6,1
1230,96.09375,GA,6,1
1260,96.32411858974359,GA,6,1
1290,96.31410256410257,GA,6,1
1320,96.4443108974359,GA,6,1
1350,96.3641826923077,GA,6,1
1380,96.62459935897436,GA,6,1
1410,96.72475961538461,GA,6,1
1440,96.68469551282051,GA,6,1
1470,96.71474358974359,GA,6,1
1500,96.73477564102564,GA,6,1
30,36.51842948717949,GA,7,1
60,74.80969551282051,GA,7,1
90,77.44391025641026,GA,7,1
120,82.76241987179488,GA,7,1
150,85.59695512820512,GA,7,1
180,86.09775641025641,GA,7,1
210,87.80048076923077,GA,7,1
240,88.87219551282051,GA,7,1
270,89.24278846153847,GA,7,1
300,90.01402243589743,GA,7,1
330,90.79527243589743,GA,7,1
360,91.3661858974359,GA,7,1
390,91.81690705128206,GA,7,1
420,92.04727564102564,GA,7,1
450,92.25761217948718,GA,7,1
480,92.6582532051282,GA,7,1
510,92.86858974358974,GA,7,1
540,93.09895833333333,GA,7,1
570,93.3994391025641,GA,7,1
600,93.63982371794872,GA,7,1
630,93.88020833333333,GA,7,1
660,94.16065705128206,GA,7,1
690,94.33092948717949,GA,7,1
720,94.4511217948718,GA,7,1
750,94.64142628205128,GA,7,1
780,94.60136217948718,GA,7,1
810,94.78165064102564,GA,7,1
840,94.99198717948718,GA,7,1
870,95.14222756410257,GA,7,1
900,95.24238782051282,GA,7,1
930,95.37259615384616,GA,7,1
960,95.30248397435898,GA,7,1
990,95.65304487179488,GA,7,1
1020,95.5829326923077,GA,7,1
1050,95.71314102564102,GA,7,1
1080,95.68309294871794,GA,7,1
1110,95.87339743589743,GA,7,1
1140,96.07371794871794,GA,7,1
1170,96.10376602564102,GA,7,1
1200,96.0136217948718,GA,7,1
1230,96.04366987179488,GA,7,1
1260,96.11378205128206,GA,7,1
1290,96.39423076923077,GA,7,1
1320,96.42427884615384,GA,7,1
1350,96.38421474358974,GA,7,1
1380,96.42427884615384,GA,7,1
1410,96.50440705128206,GA,7,1
1440,96.6045673076923,GA,7,1
1470,96.77483974358974,GA,7,1
1500,96.7948717948718,GA,7,1
30,40.29447115384615,GA,8,1
60,68.95032051282051,GA,8,1
90,77.57411858974359,GA,8,1
120,79.51722756410257,GA,8,1
150,83.88421474358974,GA,8,1
180,85.45673076923077,GA,8,1
210,87.92067307692308,GA,8,1
240,89.05248397435898,GA,8,1
270,89.31290064102564,GA,8,1
300,89.99399038461539,GA,8,1
330,90.73517628205128,GA,8,1
360,91.19591346153847,GA,8,1
390,91.59655448717949,GA,8,1
420,91.97716346153847,GA,8,1
450,92.1875,GA,8,1
480,92.41786858974359,GA,8,1
510,92.68830128205128,GA,8,1
540,92.97876602564102,GA,8,1
570,93.33934294871794,GA,8,1
600,93.3994391025641,GA,8,1
630,93.58974358974359,GA,8,1
660,93.92027243589743,GA,8,1
690,94.0204326923077,GA,8,1
720,94.2207532051282,GA,8,1
750,94.36097756410257,GA,8,1
780,94.4511217948718,GA,8,1
810,94.59134615384616,GA,8,1
840,94.81169871794872,GA,8,1
870,94.93189102564102,GA,8,1
900,95.21233974358974,GA,8,1
930,95.38261217948718,GA,8,1
960,95.34254807692308,GA,8,1
990,95.47275641025641,GA,8,1
1020,95.64302884615384,GA,8,1
1050,95.59294871794872,GA,8,1
1080,96.00360576923077,GA,8,1
1110,95.92347756410257,GA,8,1
1140,95.95352564102564,GA,8,1
1170,95.85336538461539,GA,8,1
1200,96.03365384615384,GA,8,1
1230,96.15384615384616,GA,8,1
1260,96.26402243589743,GA,8,1
1290,96.1738782051282,GA,8,1
1320,96.28405448717949,GA,8,1
1350,96.34415064102564,GA,8,1
1380,96.39423076923077,GA,8,1
1410,96.3641826923077,GA,8,1
1440,96.34415064102564,GA,8,1
1470,96.59455128205128,GA,8,1
1500,96.55448717948718,GA,8,1
30,52.35376602564103,LF,1,1
60,73.29727564102564,LF,1,1
90,79.67748397435898,LF,1,1
120,81.53044871794872,LF,1,1
150,85.04607371794872,LF,1,1
180,86.17788461538461,LF,1,1
210,88.41145833333333,LF,1,1
240,89.05248397435898,LF,1,1
270,89.9639423076923,LF,1,1
300,90.29447115384616,LF,1,1
330,90.91546474358974,LF,1,1
360,91.54647435897436,LF,1,1
390,91.7167467948718,LF,1,1
420,92.20753205128206,LF,1,1
450,92.58814102564102,LF,1,1
